name,type,loc,addr,lat,lng
짐박스피트니스 일원역점,헬스,강남,서울 강남구 일원동 717,37.4840740343,127.0844520898
자마이카피트니스 신림점,헬스,관악,서울 관악구 신림동 1422-5,37.4847655963,126.9300886308
짐박스피트니스 사당2호점,헬스,관악,서울 관악구 남현동 1059-16,37.4761293317,126.9790624656
짐박스피트니스 신림본점,헬스,관악,서울 관악구 신림동 1747,37.4702225365,126.93842453
킹짐,헬스,관악,서울 관악구 신림동 1514-1,37.4710975543,126.9343274758
짐박스피트니스 구로디지털단지점,헬스,구로디지털,서울 구로구 구로동 188-25,37.4850671499381,126.89654361011
스포애니 구의역점,헬스,구의,서울 광진구 아차산로 362 3층~5층,37.5363778870111,127.082909138888
머슬마인드 강남구청5호점,헬스,논현,서울 강남구 논현동 119-2,37.5176875888336,127.04075806738
엠케이휘트니스,헬스,논현,서울 강남구 논현동 203,37.50608274357699,127.02808243085744
짐박스피트니스 사당1호점,헬스,동작,서울 동작구 사당동 1030-20,37.4804095268,126.9814581452
에이블짐 한양대점,헬스,성동,서울 성동구 행당동 12,37.5602938277,127.0414875125
요가바이아터스,요가,송파,서울 송파구 송파대로 410 송연빌딩 2층,37.5040057855066,127.108752885848
짐박스피트니스 송파점 (오픈예정),헬스,송파,서울 송파구 송파대로 393 짐박스 송파점 1-5층,37.5024149618841,127.109250676592
신사 라이크짐 1호점,헬스,잠원,서울 서초구 잠원동 20-5,37.51555316498836,127.01927446990018
휘트니스엠 천호점,헬스,천호,서울 강동구 천호동 425-5,37.540602361470334,127.12485069635034
짐맥스,헬스,하남,경기 하남시 망월동 1129-1,37.5632074735,127.1942108156
